"gender","Age","Attitude","deep","Surf","Stra","Points"
"F",21,2.5,3.16666666666667,3.41666666666667,3.125,12
"M",28,3.3,3.83333333333333,2.83333333333333,3.5,17
"F",21,3.3,4.25,2.25,2.625,18
"F",30,3,3.83333333333333,2.75,3.375,19
"F",21,2.9,3.66666666666667,3.91666666666667,2.25,21
"M",23,3.3,3.83333333333333,2.33333333333333,3,24
"F",21,3.3,3.83333333333333,2.75,4,28
"F",21,3.5,3.83333333333333,2.75,3.5,17
"F",20,3.6,3.66666666666667,2.91666666666667,2.625,18
"M",22,3.7,4.33333333333333,2.08333333333333,2.5,17
"M",21,4.2,3.75,3.66666666666667,3.75,23
"M",21,3.2,4.16666666666667,2.83333333333333,3.625,26
"F",20,5,4,3.41666666666667,4.125,28
"M",22,4.7,4,1.58333333333333,4.375,31
"F",20,3.6,4.58333333333333,2.91666666666667,2.625,27
"F",20,3.6,3.66666666666667,3,4,25
"M",24,2.9,3.66666666666667,2.91666666666667,2.75,23
"F",20,3.5,3.83333333333333,2.66666666666667,2.75,21
"F",19,4,2.58333333333333,3,1.375,27
"F",21,3.5,3.5,2.75,2.25,28
"F",21,3.2,3.08333333333333,3.08333333333333,3.625,23
"F",22,2.6,4.25,2.5,3.75,21
"F",25,2,3.16666666666667,2.33333333333333,4,25
"F",21,2.7,3.08333333333333,3,3.125,11
"F",22,3.2,4.16666666666667,3,3.25,19
"F",25,3.3,2.25,4,2.125,24
"F",20,3.9,3.33333333333333,3.25,2.875,28
"M",24,3.3,3.08333333333333,3.5,1.5,21
"F",20,3,2.75,3.5,2.5,24
"M",21,3.7,3.25,3.83333333333333,3.25,24
"F",20,2.5,4,2.91666666666667,3.625,20
"F",20,2.9,3.58333333333333,2.16666666666667,3.875,19
"M",31,3.9,4.08333333333333,1.66666666666667,3.875,30
"F",20,3.6,4.25,2.08333333333333,2.375,22
"F",22,2.9,3.41666666666667,2.83333333333333,3,16
"F",22,2.1,3.08333333333333,3.41666666666667,3.375,16
"M",21,3.1,3.5,3.33333333333333,2.75,19
"M",22,4,3.66666666666667,2.58333333333333,4.5,30
"F",21,3.1,4.25,2.83333333333333,2.625,23
"F",21,2.3,4.25,3.33333333333333,2.75,19
"F",21,2.8,3.83333333333333,3,3.25,18
"F",21,3.7,4.41666666666667,2.58333333333333,4.125,28
"F",20,2.6,3.5,2.41666666666667,3.375,21
"F",21,2.4,3.58333333333333,3.58333333333333,2.75,19
"F",25,3,3.66666666666667,2.08333333333333,4.125,27
"M",21,2.8,2.08333333333333,4.33333333333333,3.25,24
"F",24,2.9,4.25,2.66666666666667,2.875,21
"F",20,2.4,3.58333333333333,3,2.875,20
"M",21,3.1,4,2.66666666666667,2.375,28
"F",20,1.9,3.33333333333333,2.16666666666667,3.875,12
"F",20,2,3.5,2.66666666666667,2.125,21
"F",18,3.8,3.16666666666667,2.25,4,28
"F",21,3.4,3.58333333333333,2.66666666666667,3.25,31
"F",19,3.7,3.41666666666667,3.33333333333333,2.625,18
"F",21,2.9,4.25,3.5,2.75,25
"F",20,2.3,3.25,2.75,4,19
"M",21,4.1,4.41666666666667,2,3,21
"F",20,2.7,3.25,2.83333333333333,3.375,16
"F",21,3.5,3.91666666666667,3.5,3.875,7
"F",20,3.4,3.58333333333333,2.5,3.25,21
"F",18,3.2,4.5,3.16666666666667,3.375,17
"M",22,3.3,3.58333333333333,3.08333333333333,4.125,22
"F",22,3.3,3.66666666666667,2.91666666666667,3.5,18
"M",24,3.5,2.58333333333333,3.16666666666667,2,25
"F",19,3.2,4.16666666666667,2.5,3.625,24
"F",20,3.1,3.25,3.83333333333333,3.375,23
"F",20,2.8,4.33333333333333,2.25,2.125,23
"F",17,1.7,3.91666666666667,3.41666666666667,4.625,26
"M",19,1.9,2.66666666666667,3.75,2.5,12
"F",20,3.5,3.08333333333333,3,2.875,32
"F",20,2.4,3.75,2.58333333333333,2.75,22
"F",20,2.1,4.16666666666667,3.33333333333333,4,20
"F",20,2.9,4.16666666666667,2.83333333333333,2.375,21
"F",19,1.9,3.25,3,3.875,23
"F",19,2,4.08333333333333,2.83333333333333,3.375,20
"F",22,4.2,2.91666666666667,3.16666666666667,1.75,28
"M",35,4.1,3.83333333333333,2.75,3,31
"F",18,3.7,3.16666666666667,3.41666666666667,2.625,18
"F",19,3.6,3.41666666666667,3,2.625,30
"M",21,1.8,4.08333333333333,2.66666666666667,3.375,19
